_id,Calendar,WeekStarting,GreenBin,Garbage,Recycling,YardWaste,ChristmasTree
124,Tuesday2,2022-05-17,T,T,0,T,0
125,Tuesday2,2022-05-24,T,0,T,0,0
126,Tuesday2,2022-05-31,T,T,0,T,0
127,Tuesday2,2022-06-07,T,0,T,0,0
128,Tuesday2,2022-06-14,T,T,0,T,0
129,Tuesday2,2022-06-21,T,0,T,0,0
130,Tuesday2,2022-06-28,T,T,0,T,0
131,Tuesday2,2022-07-05,T,0,T,0,0
132,Tuesday2,2022-07-12,T,T,0,T,0
133,Tuesday2,2022-07-19,T,0,T,0,0
134,Tuesday2,2022-07-26,T,T,0,T,0
135,Tuesday2,2022-08-02,T,0,T,0,0
136,Tuesday2,2022-08-09,T,T,0,T,0
137,Tuesday2,2022-08-16,T,0,T,0,0
138,Tuesday2,2022-08-23,T,T,0,T,0
139,Tuesday2,2022-08-30,T,0,T,0,0
140,Tuesday2,2022-09-06,T,T,0,T,0
141,Tuesday2,2022-09-13,T,0,T,0,0
142,Tuesday2,2022-09-20,T,T,0,T,0
143,Tuesday2,2022-09-27,T,0,T,0,0
144,Tuesday2,2022-10-04,T,T,0,T,0
145,Tuesday2,2022-10-11,T,0,T,0,0
146,Tuesday2,2022-10-18,T,T,0,T,0
147,Tuesday2,2022-10-25,T,0,T,0,0
148,Tuesday2,2022-11-01,T,T,0,T,0
149,Tuesday2,2022-11-08,T,0,T,0,0
150,Tuesday2,2022-11-15,T,T,0,T,0
151,Tuesday2,2022-11-22,T,0,T,0,0
152,Tuesday2,2022-11-29,T,T,0,T,0
153,Tuesday2,2022-12-06,T,0,T,0,0
154,Tuesday2,2022-12-13,T,T,0,T,0
155,Tuesday2,2022-12-20,T,0,T,0,0
156,Tuesday2,2022-12-27,T,T,0,0,0
157,Wednesday1,2022-01-05,W,W,0,0,W
158,Wednesday1,2022-01-12,W,0,W,0,0
159,Wednesday1,2022-01-19,W,W,0,0,W
160,Wednesday1,2022-01-26,W,0,W,0,0
161,Wednesday1,2022-02-02,W,W,0,0,0
162,Wednesday1,2022-02-09,W,0,W,0,0
163,Wednesday1,2022-02-16,W,W,0,0,0
164,Wednesday1,2022-02-23,W,0,W,0,0
165,Wednesday1,2022-03-02,W,W,0,0,0
166,Wednesday1,2022-03-09,W,0,W,0,0
167,Wednesday1,2022-03-16,W,W,0,W,0
168,Wednesday1,2022-03-23,W,0,W,0,0
169,Wednesday1,2022-03-30,W,W,0,W,0
170,Wednesday1,2022-04-06,W,0,W,0,0
171,Wednesday1,2022-04-13,W,W,0,W,0
172,Wednesday1,2022-04-20,W,0,W,0,0
173,Wednesday1,2022-04-27,W,W,0,W,0
174,Wednesday1,2022-05-04,W,0,W,0,0
175,Wednesday1,2022-05-11,W,W,0,W,0
176,Wednesday1,2022-05-18,W,0,W,0,0
177,Wednesday1,2022-05-25,W,W,0,W,0
178,Wednesday1,2022-06-01,W,0,W,0,0
179,Wednesday1,2022-06-08,W,W,0,W,0
180,Wednesday1,2022-06-15,W,0,W,0,0
181,Wednesday1,2022-06-22,W,W,0,W,0
182,Wednesday1,2022-06-29,W,0,W,0,0
183,Wednesday1,2022-07-06,W,W,0,W,0
184,Wednesday1,2022-07-13,W,0,W,0,0
185,Wednesday1,2022-07-20,W,W,0,W,0
186,Wednesday1,2022-07-27,W,0,W,0,0
187,Wednesday1,2022-08-03,W,W,0,W,0
188,Wednesday1,2022-08-10,W,0,W,0,0
189,Wednesday1,2022-08-17,W,W,0,W,0
190,Wednesday1,2022-08-24,W,0,W,0,0
191,Wednesday1,2022-08-31,W,W,0,W,0
192,Wednesday1,2022-09-07,W,0,W,0,0
193,Wednesday1,2022-09-14,W,W,0,W,0
194,Wednesday1,2022-09-21,W,0,W,0,0
195,Wednesday1,2022-09-28,W,W,0,W,0
196,Wednesday1,2022-10-05,W,0,W,0,0
197,Wednesday1,2022-10-12,W,W,0,W,0
198,Wednesday1,2022-10-19,W,0,W,0,0
199,Wednesday1,2022-10-26,W,W,0,W,0
200,Wednesday1,2022-11-02,W,0,W,0,0
201,Wednesday1,2022-11-09,W,W,0,W,0
202,Wednesday1,2022-11-16,W,0,W,0,0
203,Wednesday1,2022-11-23,W,W,0,W,0
204,Wednesday1,2022-11-30,W,0,W,0,0
205,Wednesday1,2022-12-07,W,W,0,W,0
206,Wednesday1,2022-12-14,W,0,W,0,0
207,Wednesday1,2022-12-21,W,W,0,0,0
208,Wednesday1,2022-12-28,W,0,W,0,0
209,Wednesday2,2022-01-05,W,0,W,0,0
210,Wednesday2,2022-01-12,W,W,0,0,W
211,Wednesday2,2022-01-19,W,0,W,0,0
212,Wednesday2,2022-01-26,W,W,0,0,W
213,Wednesday2,2022-02-02,W,0,W,0,0
214,Wednesday2,2022-02-09,W,W,0,0,0
215,Wednesday2,2022-02-16,W,0,W,0,0
216,Wednesday2,2022-02-23,W,W,0,0,0
217,Wednesday2,2022-03-02,W,0,W,0,0
218,Wednesday2,2022-03-09,W,W,0,0,0
219,Wednesday2,2022-03-16,W,0,W,0,0
220,Wednesday2,2022-03-23,W,W,0,W,0
